tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres
tt0053973,movie,Julia y el celacanto,Julia y el celacanto,0,1961,90,Comedy
tt0053975,movie,The Young Sinner,Die junge Sünderin,0,1960,93,"Drama,Romance"
tt0053976,movie,The Virgin Spring,Jungfrukällan,0,1960,89,Drama
tt0053977,movie,Jungle Cat,Jungle Cat,0,1960,69,"Documentary,Family"
tt0053978,movie,Justus järjestää kaiken,Justus järjestää kaiken,0,1960,89,"Comedy,Romance"
tt0053979,movie,Young People,Los jóvenes,0,1961,100,"Crime,Drama,Thriller"
tt0053980,movie,Kala Bazar,Kala Bazar,0,1960,163,"Crime,Drama,Musical"
tt0053981,movie,Kaks' tavallista Lahtista,Kaks' tavallista Lahtista,0,1960,85,"Comedy,Musical"
tt0053982,movie,Kala Aadmi,Kala Aadmi,0,1960,140,"Action,Drama,Mystery"
tt0053983,movie,Kamikaze,Kamikaze,0,1960,85,Documentary
tt0053984,movie,Kankkulan kaivolla,Kankkulan kaivolla,0,1960,97,Comedy
tt0053985,movie,Kanoon,Kanoon,0,1960,150,"Crime,Drama,Mystery"
tt0053987,movie,The Steamroller and the Violin,Katok i skripka,0,1961,46,Drama
tt0053988,movie,Kauf dir einen bunten Luftballon,Kauf dir einen bunten Luftballon,0,1961,102,Comedy
tt0053989,movie,Dry Lake,Kawaita mizuumi,0,1960,89,Drama
tt0053990,movie,Kein Engel ist so rein,Kein Engel ist so rein,0,1960,93,"Comedy,Crime"
tt0053991,movie,Kein Ärger mit Cleopatra,Kein Ärger mit Cleopatra,0,1960,79,\N
tt0053992,movie,The Sleeping Beast Within,Kemono no nemuri,0,1960,86,"Action,Crime"
tt0053993,movie,Key Witness,Key Witness,0,1960,82,"Crime,Drama,Mystery"
tt0053994,movie,Kidnapped,Kidnapped,0,1959,97,"Action,Adventure,Drama"
tt0053996,movie,The Fair,Kirmes,0,1960,102,Drama
tt0053997,movie,Kiss Me Baby,Kiss Me Baby,0,1957,88,"Comedy,Musical"
tt0053998,movie,Scars of Honor,Kizu senryô,0,1960,90,Drama
tt0053999,movie,Kohinoor,Kohinoor,0,1960,151,"Action,Adventure,Comedy"
tt0054000,movie,Kolorowe ponczochy,Kolorowe ponczochy,0,1960,65,"Drama,Family"
tt0054001,movie,Inspector Palmu's Error,Komisario Palmun erehdys,0,1960,109,"Comedy,Crime,Mystery"
tt0054002,movie,Kriminaltango,Kriminaltango,0,1960,87,"Comedy,Musical"
tt0054003,movie,The Meek One,Krotkaya,0,1960,72,Drama
tt0054004,movie,Knights of the Teutonic Order,Krzyzacy,0,1960,166,"Adventure,Drama,History"
tt0054005,movie,Kshudhita Pashan,Kshudhita Pashan,0,1960,109,"Drama,Fantasy,Romance"
tt0054006,movie,The Gambling Samurai,Kunisada Chûji,0,1960,101,"Action,Adventure,Drama"
tt0054007,movie,The High Life,Das kunstseidene Mädchen,0,1960,98,Drama
tt0054008,movie,Fighting Delinquents,Kutabare gurentai,0,1960,80,"Action,Crime,Drama"
tt0054009,movie,Kálvária,Kálvária,0,1960,94,Drama
tt0054010,movie,Kärlekens decimaler,Kärlekens decimaler,0,1960,108,Drama
tt0054011,movie,Két emelet boldogság,Két emelet boldogság,0,1960,95,"Comedy,Romance"
tt0054012,movie,Labios rojos,Labios rojos,0,1960,97,"Comedy,Crime,Thriller"
